      id  redshift          PSW             PSW_err          PMW             PMW_err          PLW             PLW_err                 IRAC1              IRAC1_err                 IRAC2              IRAC2_err                 IRAC3              IRAC3_err                 IRAC4              IRAC4_err                MIPS1             MIPS1_err                   S11                S11_err                  L15               L15_err                 L18W              L18W_err                 u_prime             u_prime_err                 g_prime             g_prime_err                 r_prime            r_prime_err                 i_prime             i_prime_err                z_prime             z_prime_err 
   911.0      0.25  15.78744152   6.017399074345616  9.651647802   6.379510571816854  2.273146067  6.8117037692718405               0.14724   0.014766535680382182   0.13224000000000002   0.013273909597401969               0.08487   0.008523688696802577               0.15816   0.015836219750938036  0.40174000000000004    0.0402580461026116               0.33483    0.03404673536478939              0.25943  0.028174799892812016               0.3568   0.03862391098788418   0.0007584144955000169   0.0006956866568072245    0.007309819027000474   0.0010405771875068078    0.030472397510654094      0.566663061303697     0.05295495764799511   0.0056434399031464536    0.07584144955000169    0.010725600654364726 
   929.0      0.24  20.90605235   6.168909756274887  10.24056206   6.385952054796644  4.114269472    6.81696525261187               0.28939   0.028955252045181717   0.24683000000000002    0.02470244702453585   0.14736000000000002   0.014753579091190044               0.30406    0.03041787855850569              0.51993   0.05242932909164488    0.6631699999999999    0.06649704195676677              0.51479  0.052524968738686555               0.6805   0.06969220975116229   0.0048742368089304475   0.0018174237073610355    0.035967199599607355    0.003959784373717385     0.10277952944751746     1.7863287744134195     0.16592301283019936    0.016871459142173608     0.1994833372103178    0.028211204095027694 
   958.0      0.89  6.729074744   5.845736296458481  4.643479342   6.323305202447912  4.459210215   6.822754776029472               0.02847   0.002909537592126969               0.02197  0.0022647977834676543  0.019989999999999997  0.0020759578512098936  0.015880000000000002   0.001640074388556812              0.21475  0.021881856068441726                   nan                    nan                  nan                   nan                  nan                   nan  0.00031908517360961034   0.0004507798503691431   0.0015272376610355276   0.0003833913530419351   0.0028569762165932015    0.05989071587222081   0.0036635879764583762   0.0006524537987889618   0.004919337566834258   0.0005415911231077287 
   968.0      0.62  20.39744024  6.1529543844120225  12.37270235   6.424505708245305  6.889019357   6.840407792934459   0.11034000000000001   0.011052545227231602               0.07312   0.007331912710882476               0.06994   0.007009774318763765               0.04961    0.00497130978716877              0.38721  0.039046340942526236               0.19844    0.02036342888611837              0.28446  0.030995338617282438              0.32511  0.035791982635780324   0.0004785271960959768    0.000552999106324626   0.0017214984064946887   0.0004032690969343504    0.005545064791404217    0.11256390858493304     0.01570025206657079   0.0019501927450839512   0.021276815371859277   0.0021366870795087767 
   980.0      0.14  1.973009698   5.813763678577849  3.650499106    6.31903304664774  2.600044647   6.817241540259454                0.0845   0.008466604986651971               0.07697   0.007711336395204141               0.04673   0.004690088378698209               0.13402   0.013409220857305618              0.24207  0.024409802313824665               0.30369    0.03055430838687075              0.24279  0.026369564672174627              0.32993   0.03607500726264653   0.0038010766294247615   0.0015866096167867424    0.012703009563129383    0.001577892952654862     0.03372147984011169     0.6236664214302038     0.05344494383830782      0.0056956580096509    0.06425495518692242    0.009087022907502115 
  1046.0      1.16  12.33007942   5.934105890306336  15.33441359  6.4874811606910265  11.67070042   6.904137203993125  0.044020000000000004   0.004425969272374132               0.03369   0.003388179599726083               0.02632  0.0026526070195187225               0.02302  0.0023134614757976844              0.21279  0.021457246817800278               0.02709  0.0060324771860322856              0.11429  0.015325343095669998  0.15277000000000002  0.022151034490515337                     nan                     nan                     nan                     nan                     nan                    nan   0.0029100913700972745   0.0005634243511347207  0.0050107948805084785   0.0005516600538440906 
  1073.0      0.49  5.821984592   5.834745482027597  3.568441375  6.3148799629082975  4.700927823   6.822724827251914               0.04624   0.004652039982631277  0.041740000000000006   0.004203840624952378  0.033710000000000004  0.0033983144351280984   0.06956999999999999   0.006969666347824693              0.31329  0.031592263942300816               0.32451   0.032801155482696034              0.22679   0.02580928981975289  0.27773000000000003  0.033900636114975784   0.0012820549063448038   0.0009065317825715694   0.0033105993468619454   0.0006150589034609829    0.009287666769467483    0.18374779237799765    0.015845524710318047    0.001968237656381796   0.018875854674166602    0.001895574788430038 
  1084.0       0.9  12.28156234    5.93307994857967  11.70367621   6.411465233304774  7.699892136   6.848651043850904  0.035140000000000005   0.003545292089518155               0.02531  0.0025550853214716725               0.02256  0.0022845428426711547               0.01837  0.0018567361147993004              0.20509  0.020680780473666848               0.07628   0.009039296654054452              0.15319  0.018777948796394137  0.19374000000000002   0.02354519645277992    0.000519884207436297   0.0005769443714189034   0.0006728319792995776  0.00023895746502444615   0.0015132358619973209   0.032683594003231835    0.004697930904463451    0.000766594546800301   0.005806395643871256   0.0006023970612416364 
  1087.0      0.56  6.353409023   5.839609290485988  2.147582146   6.307883662526624  0.283240899   6.805669972284695   0.08065000000000001   0.008087287864296659               0.05995    0.00601838225771677               0.05336    0.00535494126951921               0.04426   0.004438285254464837  0.15702000000000002    0.0159993032348287               0.21342   0.021815392822500355              0.20798  0.024746411941936147  0.18536000000000002  0.022146731045461315   0.0010373053672451046   0.0008092066235299616   0.0036300000000000004   0.0006464720664067395    0.010861920630887749     0.2131922394225223    0.025345836268001288   0.0028958539480201198    0.03161597831540582   0.0031749794878562277 
  1090.0      0.94  2.784966736   5.811927758398328  3.477848718  6.3141813262543405  2.005547445   6.809175596129389  0.022940000000000002   0.002326915554978307               0.01751  0.0017856374212028602               0.01319  0.0013596547355854722  0.012369999999999999  0.0012640288762524375              0.14857  0.015139304772676982               0.05026   0.007124828138278144              0.08921  0.015413926852038712                  nan                   nan  0.00041295870475390633   0.0005113379548131065   0.0006980822975943886   0.0002417624986685796   0.0014318800065332609   0.031005558980282216   0.0038010766294247615     0.00064826838941777   0.004245282789402145  0.00045242219723992173 
